City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Agadez,NE,2021-04-19 14:08:17,19.75,10.25,103.93,3,4,8.66
188,Wajima,JP,2021-04-19 14:08:17,37.4,136.9,53.71,79,1,20.11
189,Ilulissat,GL,2021-04-19 14:08:17,69.2167,-51.1,14.0,44,20,16.11
190,Ugoofaaru,MV,2021-04-19 14:08:18,5.6667,73.0,84.06,66,40,5.79
191,Saint-Joseph,RE,2021-04-19 14:08:18,-21.3667,55.6167,77.0,88,90,17.27
192,Asosa,ET,2021-04-19 14:08:19,10.0667,34.5333,89.85,12,88,7.99
193,Namibe,AO,2021-04-19 14:08:19,-15.1961,12.1522,91.4,58,20,11.5
194,Alta Floresta,BR,2021-04-19 14:08:19,-9.8756,-56.0861,77.0,88,75,5.75
195,Nikolskoye,RU,2021-04-19 14:08:20,59.7035,30.7861,53.6,30,0,13.42
196,Bolshaya Sosnova,RU,2021-04-19 14:08:20,57.6713,54.6029,39.87,37,0,8.41
197,Hithadhoo,MV,2021-04-19 14:08:21,-0.6,73.0833,83.75,65,21,5.44
198,Kirakira,SB,2021-04-19 14:08:21,-10.4544,161.9205,80.38,84,17,6.51
199,Kourou,GF,2021-04-19 14:08:21,5.1552,-52.6478,82.99,89,75,8.19
200,Mandera,KE,2021-04-19 14:08:22,3.9366,41.867,88.2,48,100,7.47
201,Borgarnes,IS,2021-04-19 14:08:22,64.5383,-21.9206,39.99,79,99,13.0
202,Pathardi,IN,2021-04-19 14:08:22,19.1667,75.1833,96.58,14,33,7.0
203,Alofi,NU,2021-04-19 14:08:23,-19.0595,-169.9187,77.0,78,100,10.36
204,Amapa,BR,2021-04-19 14:08:23,1.0,-52.0,79.66,82,95,1.7
205,Klaksvik,FO,2021-04-19 14:06:12,62.2266,-6.589,42.8,87,75,9.22
206,Tiarei,PF,2021-04-19 14:08:23,-17.5333,-149.3333,77.0,78,0,4.61
207,Upata,VE,2021-04-19 14:08:24,8.0086,-62.3989,81.0,81,99,3.0
208,Deep River,CA,2021-04-19 14:08:24,46.1001,-77.4995,41.0,87,75,1.88
209,The Valley,AI,2021-04-19 14:03:25,18.217,-63.0578,84.2,69,40,14.97
210,Caconda,AO,2021-04-19 14:08:24,-13.7333,15.0667,77.32,38,84,6.96
211,Cap Malheureux,MU,2021-04-19 14:08:25,-19.9842,57.6142,81.0,79,8,7.0
212,Bahar,IR,2021-04-19 14:08:25,34.9072,48.4414,77.0,19,40,11.5
213,Zhigansk,RU,2021-04-19 14:08:25,66.7697,123.3711,-0.78,98,21,6.29
214,Conceicao Do Araguaia,BR,2021-04-19 14:04:04,-8.2578,-49.2647,75.2,88,75,2.3
215,Tigil,RU,2021-04-19 14:08:26,57.8,158.6667,35.26,72,100,22.15
216,Linjiang,CN,2021-04-19 14:08:26,41.8069,126.9078,52.99,47,86,3.6
217,Hamilton,US,2021-04-19 14:05:48,39.1834,-84.5333,55.99,62,1,4.61
218,Chuy,UY,2021-04-19 14:08:26,-33.6971,-53.4616,71.06,58,77,10.56
219,Raudeberg,NO,2021-04-19 14:08:27,61.9875,5.1352,60.8,44,0,6.91
220,Longyearbyen,SJ,2021-04-19 14:08:27,78.2186,15.6401,35.6,64,75,11.5
221,Los Llanos De Aridane,ES,2021-04-19 14:08:27,28.6585,-17.9182,71.6,60,20,14.97
222,Palana,RU,2021-04-19 14:08:28,59.1167,159.9667,27.7,82,100,6.93
223,Chokurdakh,RU,2021-04-19 14:08:28,70.6333,147.9167,7.36,87,96,6.44
224,Mubende,UG,2021-04-19 14:08:28,0.5606,31.39,74.57,77,100,3.69
225,Souillac,MU,2021-04-19 14:08:28,-20.5167,57.5167,82.4,74,75,8.05
226,Miles City,US,2021-04-19 14:08:29,46.4083,-105.8406,28.4,80,1,4.61
227,Popondetta,PG,2021-04-19 14:08:29,-8.7537,148.2534,74.03,95,100,3.0
228,Diego De Almagro,CL,2021-04-19 14:08:29,-26.3667,-70.05,70.18,36,0,3.04
229,Skibbereen,IE,2021-04-19 14:08:30,51.55,-9.2667,46.4,93,75,12.66
230,Ajaccio,FR,2021-04-19 14:08:30,42.0,8.9167,62.6,48,72,14.97
231,Kavaratti,IN,2021-04-19 14:08:30,10.5669,72.642,84.51,70,19,6.96
232,Chitrakonda,IN,2021-04-19 14:08:30,18.1167,82.0833,85.8,35,44,3.49
233,Nuuk,GL,2021-04-19 14:08:31,64.1835,-51.7216,32.0,100,90,39.12
234,San Isidro,PE,2021-04-19 14:08:31,-12.1167,-77.05,71.6,78,0,4.61
235,Kruisfontein,ZA,2021-04-19 14:08:31,-34.0033,24.7314,60.01,91,100,3.0
236,Gamboula,CF,2021-04-19 14:08:32,4.1178,15.1393,83.32,54,100,5.95
237,La Asuncion,VE,2021-04-19 14:08:32,11.0333,-63.8628,80.29,70,8,18.19
238,Khandyga,RU,2021-04-19 14:08:32,62.6667,135.6,24.87,97,100,3.33
239,Maniitsoq,GL,2021-04-19 14:08:33,65.4167,-52.9,24.84,85,100,15.43
240,Buala,SB,2021-04-19 14:08:33,-8.145,159.5921,81.34,80,91,6.58
241,Balikpapan,ID,2021-04-19 14:08:33,-1.2675,116.8289,77.29,85,80,4.88
242,Nyurba,RU,2021-04-19 14:08:34,63.2842,118.3319,2.12,97,76,2.46
